id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,year_found
2318,Casa Madrona - Urban Oasis 1 block from the park!,2536,Megan,Madrona,47.61082,-122.29082,Entire home/apt,296,5,27,6/18/2019,0.2,2,327,2019
5682,"Cozy Studio, min. to downtown -WiFi",8993,Maddy,South Delridge,47.52398,-122.35989,Entire home/apt,48,3,462,11/24/2018,4.03,1,0,2019
6606,"Fab, private seattle urban cottage!",14942,Joyce,Wallingford,47.65411,-122.33761,Entire home/apt,90,2,145,8/15/2019,1.18,3,73,2019
9419,Glorious sun room w/ memory foambed,30559,Angielena,Georgetown,47.55062,-122.32014,Private room,62,2,140,7/24/2019,1.27,8,351,2019
9460,Downtown Convention Center B&B -- Free Minibar,30832,Siena,First Hill,47.61265,-122.32936,Private room,99,3,437,8/4/2019,3.6,4,73,2019
9531,The Adorable Sweet Orange Craftsman,31481,Cassie,Fairmount Park,47.55539,-122.38474,Entire home/apt,165,2,36,1/1/2019,0.39,2,345,2019
9534,The Coolest Tangerine Dream MIL! ,31481,Cassie,Fairmount Park,47.55624,-122.38598,Entire home/apt,125,2,42,7/6/2019,0.45,2,345,2019
9596,"the down home , spacious, central and fab!",14942,Joyce,Wallingford,47.65479,-122.33652,Entire home/apt,120,2,87,8/11/2019,0.87,3,35,2019
9909,Luna Park House - West Seattle,33360,Laura,Fairmount Park,47.56521,-122.37375,Entire home/apt,125,4,69,7/11/2019,0.58,7,91,2019
10209,Stay here for a blast!!!!,31553,Mike & Cassandra,High Point,47.55365,-122.36326,Private room,50,5,38,5/16/2019,0.32,4,314,2019
11012,"the orange house, quiet 'n central",14942,Joyce,Wallingford,47.65448,-122.33646,Entire home/apt,299,2,88,8/11/2019,0.76,3,170,2019
14386,Quiet Cozy Upstairs BR Green Lake,39377,Bob,Green Lake,47.68725,-122.3347,Private room,40,1,141,6/28/2019,1.28,3,300,2019
15108,Green Lake Private Ground Floor BR,39377,Bob,Green Lake,47.68827,-122.33586,Private room,60,1,71,3/31/2019,0.72,3,291,2019
15749,Green Lake guest room with active family,61636,Angela,Green Lake,47.68407,-122.32649,Private room,32,24,19,7/29/2019,0.2,2,77,2019
